idx,Dates,temperature,Average_humidity,Average_dewpoint,Average_barometer,Average_windspeed,Average_gustspeed,Average_direction,Rainfall_for_month,Rainfall_for_year,Maximum_temperature,Minimum_temperature,Maximum_humidity,Minimum_humidity,Maximum_pressure,Minimum_pressure,Maximum_windspeed,Maximum_gust_speed,Maximum_heat_index,diff_pressure
973,2025-03-01,24.1,58,10.7,29.8,5.4,8.1,248,0,0.38,30.9,16.2,87,32,29.917,29.675,18.4,28.8,30.9,0.2420000000000008
974,2025-03-02,15.7,46,-2.6,30.1,6.5,9.8,254,0,0.38,26.7,3.4,69,23,30.351,29.899,24.2,34.5,26.7,0.4519999999999982
975,2025-03-03,25.9,35,1.8,30.1,16.7,26.5,255,0,0.38,35.2,13.5,45,27,30.248,29.94,32.2,50.6,35.2,0.3079999999999998
976,2025-03-04,36.9,37,12.4,30.1,15.5,20.9,231,0,0.38,46,29.4,55,25,30.228,29.954,34.5,52.9,46,0.2740000000000009
977,2025-03-05,44.2,22,7.4,29.9,14.6,20.5,233,0,0.38,52.2,36,27,15,30.08,29.578,34.5,49.5,52.2,0.5019999999999989
978,2025-03-06,46.4,17,1.6,29.4,13.1,18.5,223,0,0.38,56.2,30,43,7,29.596,29.228,32.2,51.8,56.2,0.3679999999999985
979,2025-03-07,26.2,77,19.6,29.8,3.5,5.4,47,0,0.38,36.5,21.9,89,34,30.282,29.403,11.5,13.8,36.5,0.8790000000000013
980,2025-03-08,28.6,57,13.2,30.5,2.1,3.6,60,0,0.38,44.6,15.7,85,27,30.676,30.268,10.4,17.3,44.6,0.4079999999999977
981,2025-03-09,32.2,42,6.3,30.4,1.6,3.2,91,0,0.38,55.6,12.3,77,9,30.729,29.25,13.8,24.2,55.6,1.4789999999999992
982,2025-03-10,37.7,41,10.4,30,1.7,3.3,82,0,0.38,59.6,16.1,71,8,30.26,29.723,10.4,16.1,59.6,0.5370000000000026
983,2025-03-11,38.9,41,12.3,29.7,5.6,8.6,244,0,0.38,53.4,24.5,76,12,29.81,29.569,21.9,32.2,53.4,0.2409999999999996
984,2025-03-12,45.9,23,9.7,29.7,11.4,16.5,236,0,0.38,55,35.3,36,15,29.934,29.489,28.8,42.6,55,0.4450000000000003
985,2025-03-13,49.3,16,4.7,29.7,12.8,18.3,227,0,0.38,58.3,42.5,25,9,29.862,29.59,26.5,38,58.3,0.2719999999999984
986,2025-03-14,50.4,12,-1.1,29.8,9.8,14.1,235,0,0.38,59.6,38.2,21,6,29.918,29.644,21.9,31.1,59.6,0.2740000000000009
987,2025-03-15,48.7,23,11.2,29.9,6.1,9.5,249,0,0.38,60.2,32.9,55,15,30.032,29.781,16.1,26.5,60.2,0.2510000000000012
988,2025-03-16,47.8,29,13.7,29.7,8.7,12.5,235,0,0.38,61.3,27,69,14,29.97,29.533,27.6,36.8,61.3,0.4369999999999976
989,2025-03-17,50.7,22,11,29.5,3.5,6,157,0,0.38,64.7,33.4,41,11,29.715,29.321,12.7,19.6,69.4,0.3939999999999983
990,2025-03-18,39.4,45,16.1,29.4,7,10.6,180,0,0.38,59.9,23.6,89,13,29.535,29.169,26.5,35.7,59.9,0.3659999999999996
991,2025-03-19,28.7,34,3.5,29.5,9.6,14.3,245,0,0.38,38.3,23.5,60,21,29.752,29.214,25.3,36.8,38.3,0.5380000000000003
992,2025-03-20,31.6,28,0.8,29.9,6.2,9.4,236,0,0.38,44.5,17.2,49,11,30.086,29.726,19.6,31.1,44.5,0.3599999999999994
993,2025-03-21,39.4,33,10.9,30,4.2,6.4,41,0,0.38,59.3,18.6,58,17,30.069,29.883,18.4,25.3,59.3,0.1859999999999999
994,2025-03-22,41.4,42,15.3,29.9,2.6,4.5,50,0,0.38,62,21.6,76,15,30.065,29.772,13.8,18.4,62,0.2930000000000028
995,2025-03-23,49,28,13,29.9,4,6.2,221,0,0.38,68.9,27.6,57,7,30.031,29.759,18.4,26.5,71.7,0.2719999999999984
996,2025-03-24,50,32,17.8,29.9,4.9,8.1,230,0,0.38,64,30,70,12,29.978,29.76,13.8,20.7,64,0.2179999999999999
997,2025-03-25,45.7,48,21.1,29.9,2.3,4.1,330,0,0.38,69.2,27,86,10,30.112,29.718,13.8,19.6,72.4,0.3939999999999983
998,2025-03-26,46.2,34,12.9,29.6,7.9,11.4,237,0,0.38,67,29.8,72,6,29.761,29.323,26.5,39.1,69.1,0.4379999999999988
999,2025-03-27,47.1,21,7.3,29.8,9.5,13.8,228,0,0.38,59.3,35.1,38,9,29.945,29.458,23,38,59.3,0.4870000000000019
